Passagier ID,Geschlecht,Vorname,Nachname,Alter,Ticketklasse,Ticketnummer,Sektor,Reisetyp,Hafen Start,Hafen Ende
18,männlich,Sean,Soileau,88,Außenkabine,K12493,D,Kultur,Palma de Mallorca (ESP),Marseille (FRA)
19,männlich,Luis,Webb,54,Außenkabine,K40392,B,Individual,Rom (ITA),Palma de Mallorca (ESP)
20,weiblich,Darla,Mull,31,Innenkabine,K16980,B,Kulinarik,Barcelona (ESP),Genua (ITA)
21,männlich,Jim,Millican,32,Mitarbeiter:in,K60402,M,,Palma de Mallorca (ESP),Barcelona (ESP)
22,männlich,Elmer,Boden,68,Außenkabine,K73007,B,Kultur,Genua (ITA),Palermo (ITA)
23,männlich,Adam,Haven,71,Außenkabine,K73391,C,Individual,Genua (ITA),Rom (ITA)
24,weiblich,Barbara,Buller,77,Außenkabine,K15766,E,Kultur,Palermo (ITA),Barcelona (ESP)
25,weiblich,Andrea,Ritter,63,Innenkabine,K21963,C,Kultur,Rom (ITA),Palermo (ITA)
26,männlich,John,Mcmillian,66,Mitarbeiter:in,K00344,M,,Barcelona (ESP),Marseille (FRA)
27,weiblich,Joan,Horton,32,Innenkabine,K02596,A,Party,Genua (ITA),Palma de Mallorca (ESP)
28,weiblich,Pamela,Elliott,69,Innenkabine,K07385,E,Wandern,Palermo (ITA),Palma de Mallorca (ESP)
29,männlich,Larry,Pomrenke,82,Innenkabine,K01219,E,Wandern,Palermo (ITA),Palma de Mallorca (ESP)
30,weiblich,Maria,Blue,97,Außenkabine,K60813,E,Wandern,Palma de Mallorca (ESP),Marseille (FRA)
31,männlich,Ryan,Lott,94,Innenkabine,K72869,B,Kultur,Palma de Mallorca (ESP),Marseille (FRA)
32,männlich,Jose,Young,64,Innenkabine,K22449,E,Kulinarik,Palma de Mallorca (ESP),Genua (ITA)
33,divers,Nancy,Goetz,89,Innenkabine,K48856,D,Party,Genua (ITA),Palma de Mallorca (ESP)
34,divers,Nicole,Trowbridge,72,Mitarbeiter:in,K97857,M,,Barcelona (ESP),Genua (ITA)
35,weiblich,Margy,Gillespie,65,Innenkabine,K19717,A,Individual,Marseille (FRA),Genua (ITA)
36,männlich,Timothy,Young,64,Innenkabine,K12682,B,Wandern,Palermo (ITA),Genua (ITA)
37,männlich,Patrick,Shelnutt,34,Mitarbeiter:in,K48614,M,,Genua (ITA),Palermo (ITA)
38,weiblich,Kayleigh,Oakman,35,Mitarbeiter:in,K48103,M,,Rom (ITA),Palermo (ITA)
39,männlich,Benjamin,Arellano,58,Innenkabine,K30961,C,Kultur,Palermo (ITA),Barcelona (ESP)
40,männlich,Peter,Hughes,72,Außenkabine,K86608,E,Kultur,Palermo (ITA),Barcelona (ESP)
41,weiblich,Rachel,Putnam,54,Innenkabine,K98198,C,Party,Barcelona (ESP),Marseille (FRA)
42,männlich,James,Mccarroll,82,Innenkabine,K11722,D,Kultur,Genua (ITA),Genua (ITA)
43,divers,Juan,Hutton,88,Außenkabine,K69565,B,Kulinarik,Rom (ITA),Marseille (FRA)
44,männlich,Augustus,Michel,48,Außenkabine,K81753,B,Party,Rom (ITA),Palma de Mallorca (ESP)
45,weiblich,Denise,Maldonado,74,Außenkabine,K55927,E,Individual,Rom (ITA),Marseille (FRA)
46,männlich,Chad,Sheets,78,Innenkabine,K49319,D,Wandern,Genua (ITA),Genua (ITA)
47,weiblich,Julie,Anzalone,65,Innenkabine,K06922,B,Party,Palermo (ITA),Palma de Mallorca (ESP)
48,weiblich,Brenda,Mangon,18,Außenkabine,K29215,E,Individual,Genua (ITA),Rom (ITA)
49,männlich,Mark,Stetson,79,Außenkabine,K92098,C,Individual,Genua (ITA),Palermo (ITA)
50,divers,Lauren,Schultz,37,Innenkabine,K55981,D,Individual,Rom (ITA),Genua (ITA)
51,weiblich,Brandy,Griffin,54,Außenkabine,K98222,B,Kulinarik,Genua (ITA),Palma de Mallorca (ESP)
52,divers,Connie,Spicer,35,Außenkabine,K09696,D,Kulinarik,Genua (ITA),Rom (ITA)
53,weiblich,Helen,Roy,37,Innenkabine,K15366,B,Party,Genua (ITA),Barcelona (ESP)
54,weiblich,Kristine,Rodriguez,49,Innenkabine,K32683,B,Wandern,Genua (ITA),Palma de Mallorca (ESP)
55,divers,Sammy,Sanders,24,Außenkabine,K56924,D,Kulinarik,Palma de Mallorca (ESP),Marseille (FRA)
56,männlich,Michael,Messano,15,Innenkabine,K05468,B,Kultur,Barcelona (ESP),Genua (ITA)
57,männlich,Tim,Thomas,36,Außenkabine,K38541,C,Individual,Rom (ITA),Palermo (ITA)
58,männlich,Alex,Reyes,47,Innenkabine,K07565,E,Individual,Palermo (ITA),Palma de Mallorca (ESP)
59,männlich,Juan,Mardis,77,Außenkabine,K96840,A,Kultur,Barcelona (ESP),Marseille (FRA)
60,männlich,Donald,Frey,84,Außenkabine,K08412,D,Kultur,Genua (ITA),Genua (ITA)
61,männlich,David,Pumper,94,Innenkabine,K05522,D,Kultur,Rom (ITA),Palermo (ITA)
62,weiblich,Jennie,Kaspar,73,Innenkabine,K60424,E,Kulinarik,Genua (ITA),Marseille (FRA)
63,männlich,Nicholas,Thomas,39,Außenkabine,K35819,C,Kultur,Genua (ITA),Barcelona (ESP)
64,männlich,Patrick,Coyle,91,Außenkabine,K71383,A,Party,Rom (ITA),Genua (ITA)
65,weiblich,Laverne,Nance,12,Mitarbeiter:in,K64179,M,,Rom (ITA),Marseille (FRA)
66,männlich,Donald,Cason,71,Innenkabine,K91296,D,Wandern,Genua (ITA),Palma de Mallorca (ESP)
67,weiblich,Reba,Mcgraw,21,Außenkabine,K49215,A,Kulinarik,Palma de Mallorca (ESP),Genua (ITA)
68,männlich,Avery,Fenstermaker,39,Innenkabine,K90744,B,Kulinarik,Palermo (ITA),Genua (ITA)
69,divers,Stanley,Bethell,94,Außenkabine,K16474,D,Wandern,Palermo (ITA),Palma de Mallorca (ESP)
70,weiblich,Belinda,Delargy,47,Innenkabine,K84214,C,Individual,Marseille (FRA),Genua (ITA)
71,männlich,Steven,Molina,94,Außenkabine,K99451,E,Wandern,Palma de Mallorca (ESP),Barcelona (ESP)
72,männlich,Milton,Poston,69,Außenkabine,K40222,B,Individual,Genua (ITA),Marseille (FRA)
73,weiblich,Norma,Sims,47,Außenkabine,K27055,A,Individual,Rom (ITA),Marseille (FRA)
74,weiblich,Marni,Derosier,24,Innenkabine,K00275,D,Party,Rom (ITA),Genua (ITA)
75,weiblich,Emily,Thomas,27,Innenkabine,K34925,E,Party,Genua (ITA),Rom (ITA)
76,weiblich,Eileen,Smith,61,Innenkabine,K55897,E,Wandern,Palma de Mallorca (ESP),Barcelona (ESP)
77,männlich,David,Balke,38,Außenkabine,K51358,C,Kultur,Palermo (ITA),Palma de Mallorca (ESP)
78,männlich,Anthony,Watson,69,Außenkabine,K15999,E,Wandern,Genua (ITA),Palermo (ITA)
79,männlich,Luis,Dejong,30,Innenkabine,K67848,C,Kulinarik,Palermo (ITA),Palma de Mallorca (ESP)
80,weiblich,Audrey,Bradshaw,26,Außenkabine,K86174,A,Kultur,Genua (ITA),Palermo (ITA)
81,weiblich,Dorothy,Mclean,27,Innenkabine,K71643,D,Kulinarik,Rom (ITA),Genua (ITA)
82,männlich,Stanley,Hargrave,66,Außenkabine,K95458,A,Kultur,Genua (ITA),Palma de Mallorca (ESP)
83,männlich,Johnny,Hernandez,46,Innenkabine,K00517,C,Party,Genua (ITA),Marseille (FRA)
84,männlich,Todd,Tobias,69,Innenkabine,K65386,A,Kulinarik,Palermo (ITA),Genua (ITA)
85,männlich,Jose,Cower,47,Mitarbeiter:in,K64017,M,,Genua (ITA),Marseille (FRA)
86,weiblich,Olivia,Cook,21,Außenkabine,K41473,D,Wandern,Barcelona (ESP),Marseille (FRA)
87,weiblich,Faye,Maldonado,84,Außenkabine,K24610,E,Wandern,Palermo (ITA),Palma de Mallorca (ESP)
88,weiblich,Courtney,Millard,93,Innenkabine,K46779,C,Kultur,Rom (ITA),Palma de Mallorca (ESP)
89,weiblich,Marissa,Weatherly,82,Mitarbeiter:in,K80697,M,,Genua (ITA),Palma de Mallorca (ESP)
90,männlich,Randall,Hasting,10,Mitarbeiter:in,K59362,M,,Palermo (ITA),Barcelona (ESP)
91,weiblich,Dolores,Salazar,67,Innenkabine,K15159,E,Wandern,Marseille (FRA),Genua (ITA)
92,weiblich,Kay,Deal,12,Innenkabine,K21733,A,Kulinarik,Rom (ITA),Genua (ITA)
93,weiblich,Myrtle,Marconis,72,Innenkabine,K67897,C,Individual,Rom (ITA),Genua (ITA)
94,weiblich,Loretta,Julien,30,Innenkabine,K31946,C,Kultur,Rom (ITA),Palermo (ITA)
95,weiblich,Mary,Wygant,32,Innenkabine,K13579,D,Kultur,Genua (ITA),Genua (ITA)
96,weiblich,Blanca,Scott,18,Mitarbeiter:in,K55532,M,,Rom (ITA),Genua (ITA)
97,männlich,Tyler,Sullivan,92,Innenkabine,K01196,E,Kulinarik,Rom (ITA),Barcelona (ESP)
98,männlich,Michael,Ludlow,64,Innenkabine,K57842,D,Wandern,Palermo (ITA),Genua (ITA)
99,männlich,Peter,Mendez,28,Innenkabine,K37216,B,Party,Palma de Mallorca (ESP),Barcelona (ESP)
100,männlich,Nathan,Chavez,71,Innenkabine,K37074,D,Wandern,Genua (ITA),Palermo (ITA)
101,weiblich,Paulette,Baker,96,Innenkabine,K10588,E,Wandern,Rom (ITA),Genua (ITA)
102,männlich,Billy,Phares,48,Innenkabine,K83595,A,Wandern,Genua (ITA),Genua (ITA)
103,weiblich,Cora,Cole,85,Außenkabine,K41605,A,Individual,Palermo (ITA),Palma de Mallorca (ESP)
104,divers,Richard,Zuniga,36,Außenkabine,K44786,A,Kultur,Genua (ITA),Marseille (FRA)
105,männlich,Brian,Gault,55,Innenkabine,K97117,E,Kulinarik,Palma de Mallorca (ESP),Genua (ITA)
106,männlich,Michael,Lopez,43,Mitarbeiter:in,K57885,M,,Palermo (ITA),Palma de Mallorca (ESP)
107,weiblich,Suzanne,Jackson,42,Außenkabine,K71720,A,Individual,Rom (ITA),Palma de Mallorca (ESP)
108,männlich,Ernest,Lewis,59,Innenkabine,K60003,C,Individual,Genua (ITA),Rom (ITA)
109,männlich,Scott,Christian,29,Außenkabine,K39592,B,Wandern,Genua (ITA),Palma de Mallorca (ESP)
110,männlich,Kurt,Burchess,49,Außenkabine,K95605,A,Wandern,Genua (ITA),Barcelona (ESP)
111,männlich,Carl,Krumroy,67,Mitarbeiter:in,K90694,M,,Rom (ITA),Palma de Mallorca (ESP)
112,divers,Gary,Watters,40,Mitarbeiter:in,K93086,M,,Palma de Mallorca (ESP),Genua (ITA)
113,weiblich,Kathy,Sison,47,Außenkabine,K13371,C,Kultur,Rom (ITA),Palma de Mallorca (ESP)
114,weiblich,June,Rynn,95,Innenkabine,K49753,B,Kultur,Genua (ITA),Palermo (ITA)
115,weiblich,Casey,Thompson,54,Außenkabine,K41422,A,Individual,Palermo (ITA),Palma de Mallorca (ESP)
116,weiblich,Debra,Babcock,50,Mitarbeiter:in,K62362,M,,Barcelona (ESP),Marseille (FRA)
117,männlich,Alan,Vanausdal,18,Außenkabine,K99196,D,Party,Rom (ITA),Palma de Mallorca (ESP)
118,weiblich,Eleanor,Lemon,18,Außenkabine,K40972,E,Individual,Rom (ITA),Barcelona (ESP)
119,weiblich,Lisa,Brimfield,72,Innenkabine,K65957,D,Party,Marseille (FRA),Genua (ITA)
120,weiblich,Carole,Draper,88,Mitarbeiter:in,K33209,M,,Barcelona (ESP),Genua (ITA)
121,weiblich,Carolyn,Altic,86,Außenkabine,K20572,D,Individual,Palermo (ITA),Genua (ITA)
122,männlich,Daniel,Clanton,31,Innenkabine,K34651,D,Party,Barcelona (ESP),Marseille (FRA)
123,männlich,Ralph,Bayless,25,Außenkabine,K67058,D,Wandern,Palermo (ITA),Genua (ITA)
124,männlich,Martin,Medina,41,Mitarbeiter:in,K64998,M,,Barcelona (ESP),Marseille (FRA)
125,männlich,Lyle,Mooney,75,Außenkabine,K16819,E,Individual,Rom (ITA),Barcelona (ESP)
126,weiblich,Lena,Sundberg,99,Mitarbeiter:in,K58274,M,,Barcelona (ESP),Genua (ITA)
127,weiblich,Tonya,Henderson,23,Innenkabine,K62717,E,Party,Palma de Mallorca (ESP),Genua (ITA)
128,männlich,John,Rabe,47,Innenkabine,K16160,C,Wandern,Palma de Mallorca (ESP),Barcelona (ESP)
129,weiblich,Anna,Knowles,17,Mitarbeiter:in,K59630,M,,Palermo (ITA),Barcelona (ESP)
130,männlich,Lewis,Giles,30,Mitarbeiter:in,K53235,M,,Palermo (ITA),Genua (ITA)
131,männlich,Brendan,Hargett,65,Innenkabine,K41125,A,Wandern,Barcelona (ESP),Genua (ITA)
132,männlich,Jeffery,Manfred,55,Außenkabine,K06762,E,Individual,Barcelona (ESP),Marseille (FRA)
133,männlich,Robert,Ostrander,52,Innenkabine,K53424,B,Kultur,Palermo (ITA),Genua (ITA)
134,divers,William,Secrest,55,Innenkabine,K57589,D,Kultur,Genua (ITA),Marseille (FRA)
135,männlich,Leon,Burns,57,Innenkabine,K99931,A,Kultur,Genua (ITA),Barcelona (ESP)
136,weiblich,Crystal,Nishimura,79,Innenkabine,K82630,A,Wandern,Palma de Mallorca (ESP),Genua (ITA)
137,weiblich,Jessica,Lin,93,Außenkabine,K73567,D,Kultur,Palermo (ITA),Marseille (FRA)
138,männlich,Anthony,Mathis,40,Innenkabine,K91892,A,Wandern,Rom (ITA),Marseille (FRA)
139,divers,Bryan,Wolfe,42,Innenkabine,K01795,C,Individual,Genua (ITA),Rom (ITA)
140,divers,Amy,Dustman,53,Außenkabine,K08692,A,Kultur,Palma de Mallorca (ESP),Marseille (FRA)
141,männlich,Robert,Brown,80,Innenkabine,K65270,E,Party,Genua (ITA),Rom (ITA)
142,weiblich,Mamie,Eisner,17,Innenkabine,K47295,E,Party,Barcelona (ESP),Marseille (FRA)
143,männlich,Patrick,Yowell,82,Innenkabine,K91814,B,Party,Palermo (ITA),Genua (ITA)
144,männlich,Charles,Fuller,11,Außenkabine,K29886,E,Kulinarik,Genua (ITA),Palermo (ITA)
145,männlich,Kelly,Miramontes,26,Innenkabine,K94861,D,Kultur,Genua (ITA),Barcelona (ESP)
146,weiblich,Virginia,Hill,61,Außenkabine,K90993,D,Kulinarik,Genua (ITA),Palma de Mallorca (ESP)
147,weiblich,Emily,Smith,54,Innenkabine,K97514,E,Individual,Rom (ITA),Palma de Mallorca (ESP)
148,männlich,Paul,Hofer,46,Innenkabine,K85564,C,Wandern,Rom (ITA),Genua (ITA)
149,männlich,Rory,Graziani,51,Innenkabine,K22434,E,Individual,Marseille (FRA),Genua (ITA)
150,divers,Juan,Weiss,53,Außenkabine,K84330,C,Party,Genua (ITA),Genua (ITA)
151,männlich,Curtis,Blevins,90,Innenkabine,K93383,D,Kulinarik,Rom (ITA),Barcelona (ESP)
152,männlich,Samuel,Harriman,47,Mitarbeiter:in,K60617,M,,Palma de Mallorca (ESP),Marseille (FRA)
153,weiblich,Rena,Bustamante,15,Außenkabine,K09279,B,Kultur,Palermo (ITA),Genua (ITA)
154,divers,James,Ingram,77,Mitarbeiter:in,K74479,M,,Palermo (ITA),Barcelona (ESP)
155,männlich,Billy,Lindsey,60,Innenkabine,K48042,B,Wandern,Palermo (ITA),Genua (ITA)
156,weiblich,Darlene,Macon,44,Innenkabine,K21267,D,Individual,Palma de Mallorca (ESP),Genua (ITA)
157,weiblich,Michelle,Evans,67,Außenkabine,K77061,A,Kultur,Palma de Mallorca (ESP),Marseille (FRA)
158,männlich,Jessie,Rigatti,66,Außenkabine,K93403,A,Individual,Rom (ITA),Barcelona (ESP)
159,weiblich,Erin,Jacobs,82,Mitarbeiter:in,K38890,M,,Genua (ITA),Palermo (ITA)
160,männlich,Daniel,Mackey,15,Außenkabine,K73341,B,Wandern,Palma de Mallorca (ESP),Genua (ITA)
161,weiblich,Michelle,Emery,22,Außenkabine,K04698,C,Wandern,Marseille (FRA),Genua (ITA)
162,weiblich,Kelsey,Stanley,68,Innenkabine,K17614,D,Wandern,Rom (ITA),Barcelona (ESP)
163,weiblich,Janie,Medrano,95,Außenkabine,K62159,A,Kulinarik,Barcelona (ESP),Marseille (FRA)
164,männlich,Dennis,Mireles,39,Innenkabine,K53040,B,Kultur,Rom (ITA),Marseille (FRA)
165,weiblich,Fern,Taylor,11,Innenkabine,K71882,D,Party,Palermo (ITA),Marseille (FRA)
166,männlich,Leroy,Morgan,67,Mitarbeiter:in,K58632,M,,Genua (ITA),Rom (ITA)
167,männlich,Jason,Reusswig,45,Innenkabine,K19909,A,Individual,Palma de Mallorca (ESP),Genua (ITA)
168,männlich,Eric,Grisby,81,Außenkabine,K03389,A,Kultur,Genua (ITA),Rom (ITA)
169,weiblich,Lori,Hisey,54,Außenkabine,K03284,B,Kulinarik,Rom (ITA),Barcelona (ESP)
170,weiblich,Frances,Buell,18,Innenkabine,K89580,C,Wandern,Barcelona (ESP),Genua (ITA)
171,männlich,Eugene,Meskill,74,Innenkabine,K33995,A,Kulinarik,Palma de Mallorca (ESP),Barcelona (ESP)
172,weiblich,Tina,Land,86,Mitarbeiter:in,K90942,M,,Barcelona (ESP),Marseille (FRA)
173,männlich,Rueben,Chadwick,59,Innenkabine,K05238,C,Party,Genua (ITA),Palma de Mallorca (ESP)
174,weiblich,Evelyn,Martin,88,Außenkabine,K10950,C,Party,Genua (ITA),Rom (ITA)
175,männlich,Raymond,Thompson,41,Mitarbeiter:in,K06133,M,,Rom (ITA),Palma de Mallorca (ESP)
176,weiblich,Renee,Williams,52,Außenkabine,K15917,A,Individual,Barcelona (ESP),Genua (ITA)
177,männlich,Jerry,Sutton,87,Außenkabine,K30655,D,Kulinarik,Palma de Mallorca (ESP),Marseille (FRA)
178,divers,Mary,Mayson,63,Innenkabine,K29659,E,Kulinarik,Genua (ITA),Marseille (FRA)
179,männlich,Wilson,Strong,56,Mitarbeiter:in,K98223,M,,Rom (ITA),Marseille (FRA)
180,männlich,Christopher,Lloyd,23,Innenkabine,K23501,C,Party,Rom (ITA),Palma de Mallorca (ESP)
181,männlich,Gary,Oreilly,57,Außenkabine,K95505,E,Kulinarik,Palermo (ITA),Palma de Mallorca (ESP)
182,divers,Ann,Thompson,64,Außenkabine,K87943,B,Kultur,Palma de Mallorca (ESP),Barcelona (ESP)
183,weiblich,Elizabeth,Barton,38,Außenkabine,K54592,E,Wandern,Barcelona (ESP),Marseille (FRA)
184,männlich,Kenneth,Kunkel,56,Außenkabine,K67443,E,Wandern,Genua (ITA),Barcelona (ESP)
185,weiblich,Monica,Stephenson,72,Außenkabine,K94974,C,Individual,Rom (ITA),Marseille (FRA)
186,weiblich,Susan,Gooch,28,Innenkabine,K80643,A,Individual,Genua (ITA),Barcelona (ESP)
187,weiblich,Tamra,Harvey,18,Mitarbeiter:in,K29614,M,,Palma de Mallorca (ESP),Barcelona (ESP)
188,weiblich,Cecelia,Nichols,46,Außenkabine,K16596,C,Kulinarik,Genua (ITA),Palma de Mallorca (ESP)
189,männlich,Dana,Cross,61,Außenkabine,K81861,C,Kulinarik,Barcelona (ESP),Marseille (FRA)
190,männlich,Mitchell,Mckee,66,Mitarbeiter:in,K91310,M,,Marseille (FRA),Genua (ITA)
191,weiblich,Laura,Carroll,97,Innenkabine,K59420,B,Kultur,Genua (ITA),Palermo (ITA)
192,divers,Sharon,Greene,37,Mitarbeiter:in,K87553,M,,Rom (ITA),Palma de Mallorca (ESP)
193,weiblich,Dorothy,Rodrigues,45,Außenkabine,K13168,E,Party,Rom (ITA),Genua (ITA)
194,männlich,Richard,Tutt,73,Außenkabine,K18870,C,Kulinarik,Rom (ITA),Palermo (ITA)
195,männlich,Neil,Huland,27,Innenkabine,K49367,A,Kultur,Genua (ITA),Genua (ITA)
196,weiblich,Sarah,Stafford,98,Innenkabine,K97129,C,Wandern,Rom (ITA),Barcelona (ESP)
197,weiblich,Barbara,Smith,44,Innenkabine,K96357,D,Kultur,Genua (ITA),Barcelona (ESP)
198,weiblich,Karen,White,77,Innenkabine,K76112,B,Party,Palermo (ITA),Marseille (FRA)
199,weiblich,Elaine,Lemon,87,Außenkabine,K30469,D,Wandern,Marseille (FRA),Genua (ITA)
200,weiblich,Rebecca,Davies,48,Innenkabine,K46497,C,Wandern,Palermo (ITA),Genua (ITA)
201,männlich,William,Eddy,99,Innenkabine,K60041,B,Kulinarik,Barcelona (ESP),Marseille (FRA)
202,männlich,William,Fleming,17,Innenkabine,K81891,A,Kultur,Barcelona (ESP),Marseille (FRA)
203,weiblich,Lita,Gray,97,Innenkabine,K32538,D,Party,Palma de Mallorca (ESP),Barcelona (ESP)
204,weiblich,Virginia,Dow,89,Innenkabine,K89822,D,Kulinarik,Palermo (ITA),Palma de Mallorca (ESP)
205,männlich,Christopher,Mire,93,Außenkabine,K38587,E,Individual,Rom (ITA),Marseille (FRA)
206,männlich,Robert,Kelly,24,Außenkabine,K64833,B,Kulinarik,Genua (ITA),Genua (ITA)
207,weiblich,Arnita,Petermann,16,Innenkabine,K73630,D,Individual,Palma de Mallorca (ESP),Genua (ITA)
208,männlich,Anthony,Fisher,26,Außenkabine,K98322,E,Individual,Barcelona (ESP),Marseille (FRA)
209,männlich,Leslie,Lanier,95,Innenkabine,K87966,A,Individual,Rom (ITA),Palma de Mallorca (ESP)
210,weiblich,Sonia,Swindle,95,Mitarbeiter:in,K32353,M,,Palermo (ITA),Genua (ITA)
211,weiblich,Lupe,Black,73,Außenkabine,K31651,D,Kulinarik,Genua (ITA),Marseille (FRA)
212,weiblich,Angelica,Perez,21,Außenkabine,K45438,C,Individual,Palermo (ITA),Barcelona (ESP)
213,männlich,Nathan,Abraham,91,Mitarbeiter:in,K21878,M,,Palermo (ITA),Marseille (FRA)
214,weiblich,Antoinette,Smith,65,Außenkabine,K92002,A,Party,Palermo (ITA),Genua (ITA)
215,männlich,Santiago,Williams,55,Außenkabine,K31723,E,Individual,Genua (ITA),Palermo (ITA)
216,männlich,Joe,Guthrie,56,Außenkabine,K59515,B,Kultur,Barcelona (ESP),Marseille (FRA)
217,weiblich,Tesha,Ortega,88,Innenkabine,K34665,A,Individual,Genua (ITA),Palermo (ITA)
218,weiblich,Evelyn,Pellot,25,Außenkabine,K95532,B,Wandern,Genua (ITA),Marseille (FRA)
219,weiblich,Bernadette,Bromley,78,Innenkabine,K02282,A,Kultur,Genua (ITA),Marseille (FRA)
220,weiblich,Adrienne,Harms,11,Innenkabine,K77299,E,Individual,Genua (ITA),Palermo (ITA)
221,weiblich,Kelli,Bunton,63,Außenkabine,K57799,C,Wandern,Palma de Mallorca (ESP),Marseille (FRA)
222,männlich,Ruben,Aldous,36,Außenkabine,K88769,E,Kulinarik,Rom (ITA),Palermo (ITA)
223,männlich,Brian,Dews,40,Innenkabine,K26317,B,Kultur,Rom (ITA),Marseille (FRA)
224,männlich,Dan,Dauer,50,Innenkabine,K10498,B,Individual,Palermo (ITA),Genua (ITA)
225,männlich,Matthew,Cheshire,45,Außenkabine,K41937,D,Kulinarik,Palma de Mallorca (ESP),Genua (ITA)
226,divers,Roderick,Rogers,56,Außenkabine,K64346,C,Kultur,Rom (ITA),Palma de Mallorca (ESP)
227,männlich,Jessie,Morrow,52,Innenkabine,K47668,E,Kultur,Genua (ITA),Barcelona (ESP)
228,weiblich,Jana,Shoulders,74,Mitarbeiter:in,K77567,M,,Rom (ITA),Genua (ITA)
229,weiblich,Anna,Bullock,59,Außenkabine,K49169,B,Individual,Rom (ITA),Palermo (ITA)
230,weiblich,Rene,Stuckey,10,Innenkabine,K29753,C,Wandern,Palma de Mallorca (ESP),Barcelona (ESP)
231,weiblich,Gloria,Eldred,81,Außenkabine,K16069,E,Party,Genua (ITA),Palma de Mallorca (ESP)
232,weiblich,Teresa,Ford,66,Außenkabine,K96923,C,Individual,Barcelona (ESP),Genua (ITA)
233,weiblich,Verna,Lopez,25,Außenkabine,K33859,C,Individual,Palermo (ITA),Genua (ITA)
234,männlich,Zachary,Benenati,37,Innenkabine,K83698,E,Kulinarik,Marseille (FRA),Genua (ITA)
235,weiblich,Michelle,Blair,95,Innenkabine,K92257,C,Kulinarik,Rom (ITA),Barcelona (ESP)
236,männlich,Shane,Walsh,91,Mitarbeiter:in,K03751,M,,Barcelona (ESP),Marseille (FRA)
237,männlich,Kevin,Leetch,31,Innenkabine,K70069,B,Party,Palermo (ITA),Marseille (FRA)
238,weiblich,Marjorie,Harris,50,Mitarbeiter:in,K27870,M,,Genua (ITA),Palermo (ITA)
239,männlich,David,Burroughs,85,Außenkabine,K05075,C,Party,Barcelona (ESP),Genua (ITA)
240,divers,Gaylord,Wright,28,Außenkabine,K45306,A,Party,Palma de Mallorca (ESP),Genua (ITA)
241,divers,Margaret,Wilson,98,Mitarbeiter:in,K98338,M,,Rom (ITA),Genua (ITA)
242,divers,Leonor,Conner,59,Innenkabine,K39373,C,Wandern,Rom (ITA),Genua (ITA)
243,männlich,Raymond,Graham,68,Mitarbeiter:in,K87487,M,,Palma de Mallorca (ESP),Genua (ITA)
244,männlich,Shawn,Dorris,78,Außenkabine,K93303,D,Kultur,Genua (ITA),Rom (ITA)
245,divers,Max,Dorland,43,Außenkabine,K74534,D,Kulinarik,Rom (ITA),Palma de Mallorca (ESP)
246,männlich,Gregory,Brundidge,48,Innenkabine,K97829,A,Kulinarik,Genua (ITA),Rom (ITA)
247,divers,Patsy,Briggs,83,Außenkabine,K30435,E,Individual,Rom (ITA),Barcelona (ESP)
248,divers,Violet,Thomas,16,Innenkabine,K59526,D,Wandern,Rom (ITA),Palermo (ITA)
